Depth CCSF (m),filename,position (mm),sample surface,validity,E-gain,E-offset,F-slope,F-offset,cps,MSE,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Mn,Fe,Co,Ni,Cu,Zn,Ga,Rb,Sr,Y,Zr,Ru,Rh,Pd,Cd,Sb,Ba,Ce,Pr,Nd,Tb,Tm,Lu,Hf,Os,Ir,Pt,Hg,Tl,Pb,Th,Pa,U,Cr kb,Ca ka-a sum,Ca ka-b sum,S2,W la,W la scat,W lb1,W lb1 scat,W lb2,W lb2 scat,Cr inc,Cr coh,Dt,Unnamed: 68,SectionFile,SectionLabel,File,Core,Section Top Depth CCSF (m),Section Bottom Depth CCSF (m)
20.57,C:\Data\Hemming\New XRF data\019_U1474D_4H1-L000006.spe,17.61,6.58,1,0.021481999999999998,-0.002728,0.009691,0.085882,43934,5.79,0,309,2406,0,273,8685,2593,14339,493277,0,8867,128,0,15807,169,144,93,329,23,141,2111,55,228,0,0,120,107,0,716,0,216,543,0,53,45,9,13,41,0,136,0,0,82,38,141,6198,703,154,4476,125,9,0,151,0,215,12260,35688,0.09300000000000001,,U1474D_4H1-L000006.spe,U1474D_4H1,L000006.spe,U1474D_4,20.548000000000002,22.048000000000002
20.59,C:\Data\Hemming\New XRF data\019_U1474D_4H1-L000019.spe,43.61,6.62,1,0.021481999999999998,-0.002728,0.009691,0.085882,38261,5.52,0,227,2064,0,190,7890,2758,12875,413523,0,8770,32,0,14782,178,112,36,688,68,105,1856,112,156,0,0,62,108,0,582,0,271,727,0,49,14,42,24,0,0,188,0,20,0,68,82,5781,556,78,4711,103,20,33,139,0,29,11061,33498,0.091,,U1474D_4H1-L000019.spe,U1474D_4H1,L000019.spe,U1474D_4,20.548000000000002,22.048000000000002
20.61,C:\Data\Hemming\New XRF data\019_U1474D_4H1-L000029.spe,63.61,6.63,1,0.021481999999999998,-0.002728,0.009691,0.085882,40187,5.98,0,250,2454,0,194,8285,2440,14600,419305,0,9616,167,0,17830,172,165,34,472,0,186,1897,140,238,0,0,70,103,0,773,0,308,564,0,129,0,43,45,64,0,149,0,33,83,45,145,6589,520,146,5536,125,51,0,188,0,189,12578,36226,0.096,,U1474D_4H1-L000029.spe,U1474D_4H1,L000029.spe,U1474D_4,20.548000000000002,22.048000000000002
20.63,C:\Data\Hemming\New XRF data\019_U1474D_4H1-L000039.spe,83.61,6.57,1,0.021481999999999998,-0.002728,0.009691,0.085882,42976,6.22,0,237,2523,0,171,8186,2388,14579,458925,0,9656,203,0,17190,172,124,53,404,39,154,1999,130,259,0,0,84,163,0,760,0,212,363,30,110,0,28,70,29,0,139,0,0,35,36,37,6482,571,166,5323,81,43,42,139,0,78,13090,35455,0.096,,U1474D_4H1-L000039.spe,U1474D_4H1,L000039.spe,U1474D_4,20.548000000000002,22.048000000000002
20.65,C:\Data\Hemming\New XRF data\019_U1474D_4H1-L000049.spe,103.61,6.5,1,0.021481999999999998,-0.002728,0.009691,0.085882,42191,5.91,0,328,2525,0,220,7752,2252,13594,494988,0,9109,204,0,14589,167,120,40,465,24,133,1891,110,240,0,0,159,161,0,582,0,227,454,0,42,111,53,23,53,0,203,0,0,110,114,113,6145,799,139,4336,165,59,35,119,0,69,12055,33004,0.08900000000000001,,U1474D_4H1-L000049.spe,U1474D_4H1,L000049.spe,U1474D_4,20.548000000000002,22.048000000000002
20.67,C:\Data\Hemming\New XRF data\019_U1474D_4H1-L000059.spe,123.61,6.47,1,0.021481999999999998,-0.002728,0.009691,0.085882,35400,6.21,33,298,2572,0,171,7719,2145,14142,401863,0,10055,142,0,16909,171,102,61,496,82,181,1885,119,228,0,0,92,147,0,766,0,216,332,0,25,0,39,10,0,0,212,0,37,177,98,126,6525,531,106,5074,93,12,0,190,0,234,13381,34597,0.09300000000000001,,U1474D_4H1-L000059.spe,U1474D_4H1,L000059.spe,U1474D_4,20.548000000000002,22.048000000000002
20.7,C:\Data\Hemming\New XRF data\019_U1474D_4H1-L000071.spe,147.61,6.58,1,0.021481999999999998,-0.002728,0.009691,0.085882,39488,5.57,0,287,2391,0,75,7682,2176,14246,438995,0,9828,206,0,16418,176,124,35,195,61,175,1866,105,244,0,0,78,140,0,728,0,196,493,5,63,0,0,28,12,0,125,0,0,85,0,66,6442,554,111,4941,4,0,144,67,0,0,11945,34216,0.092,,U1474D_4H1-L000071.spe,U1474D_4H1,L000071.spe,U1474D_4,20.548000000000002,22.048000000000002
20.72,C:\Data\Hemming\New XRF data\019_U1474D_4H1-L000081.spe,167.61,6.62,1,0.021481999999999998,-0.002728,0.009691,0.085882,46047,6.49,0,330,2232,0,161,7482,2350,13366,510023,0,8608,231,0,15373,186,110,32,149,81,213,2032,115,232,0,0,113,209,0,855,0,167,475,0,51,0,38,12,9,0,102,0,0,91,15,130,6341,870,208,4414,100,10,22,83,0,67,11899,32897,0.092,,U1474D_4H1-L000081.spe,U1474D_4H1,L000081.spe,U1474D_4,20.548000000000002,22.048000000000002
20.74,C:\Data\Hemming\New XRF data\019_U1474D_4H1-L000091.spe,187.61,6.61,1,0.021481999999999998,-0.002728,0.009691,0.085882,43967,5.97,0,284,2531,0,185,7673,2341,14338,467557,0,9788,243,0,16558,190,161,78,171,88,203,1872,133,202,0,58,108,142,0,750,0,230,362,9,15,0,99,0,0,0,102,0,32,45,39,141,6132,645,146,4953,157,12,0,213,0,203,12487,34119,0.091,,U1474D_4H1-L000091.spe,U1474D_4H1,L000091.spe,U1474D_4,20.548000000000002,22.048000000000002
20.76,C:\Data\Hemming\New XRF data\019_U1474D_4H1-L000101.spe,207.61,6.62,1,0.021481999999999998,-0.002728,0.009691,0.085882,38341,5.35,7,298,2510,0,142,7603,2311,14590,393339,0,10154,230,0,18287,164,113,20,183,41,154,1759,131,213,0,0,98,85,0,722,0,209,455,0,61,0,0,0,62,0,205,0,60,79,28,46,6255,436,58,4904,56,0,0,15,0,143,12126,36136,0.095,,U1474D_4H1-L000101.spe,U1474D_4H1,L000101.spe,U1474D_4,20.548000000000002,22.048000000000002
