Exp,Site,Hole,Core,Type,Sect,Recovered length (m),Curated length (m),Top depth CSF-A (m),Bottom depth CSF-A (m),Top depth CCSF-361-U1474-ABDEF-20160220 (m),Bottom depth CCSF-361-U1474-ABDEF-20160220 (m),Text ID of section,Text ID of archive half,Text ID of working half,Catwalk samples (no.),Section half samples (no.),Comments
361,U1474,A,1,H,1,1.5,1.5,0,1.5,0,1.5,SECT7597361,SHLF7597381,SHLF7597371,1,14,
361,U1474,A,1,H,2,1.5,1.5,1.5,3,1.5,3,SECT7597391,SHLF7597411,SHLF7597401,0,6,
361,U1474,A,1,H,3,1.01,1.01,3,4.01,3,4.01,SECT7597421,SHLF7597441,SHLF7597431,1,13,
361,U1474,A,1,H,4,1.23,1.23,4.01,5.24,4.01,5.24,SECT7597451,SHLF7597471,SHLF7597461,1,8,
361,U1474,A,1,H,CC,0.19,0.19,5.24,5.43,5.24,5.43,SECT7597481,SHLF7597501,SHLF7597491,1,2,
361,U1474,A,2,H,1,1.5,1.5,5.4,6.9,3.902,5.402,SECT7597771,SHLF7597791,SHLF7597781,0,6,
361,U1474,A,2,H,2,1.5,1.5,6.9,8.4,5.402,6.902,SECT7597801,SHLF7597821,SHLF7597811,0,7,
361,U1474,A,2,H,3,1.5,1.5,8.4,9.9,6.902,8.402,SECT7597831,SHLF7597851,SHLF7597841,0,19,
361,U1474,A,2,H,4,1.5,1.5,9.9,11.4,8.402,9.902,SECT7597861,SHLF7597881,SHLF7597871,0,20,
361,U1474,A,2,H,5,1.5,1.5,11.4,12.9,9.902,11.402,SECT7597891,SHLF7597911,SHLF7597901,0,14,
361,U1474,A,2,H,6,1.21,1.21,12.9,14.11,11.402,12.612,SECT7597921,SHLF7597941,SHLF7597931,1,10,
361,U1474,A,2,H,7,0.54,0.54,14.11,14.65,12.612,13.152,SECT7597951,SHLF7597971,SHLF7597961,1,12,
361,U1474,A,2,H,CC,0.19,0.19,14.65,14.84,13.152,13.342,SECT7597981,SHLF7598001,SHLF7597991,1,0,
361,U1474,A,3,H,1,1.5,1.5,14.9,16.4,13.203,14.703,SECT7598291,SHLF7598311,SHLF7598301,0,4,
361,U1474,A,3,H,2,1.5,1.5,16.4,17.9,14.703,16.203,SECT7598321,SHLF7598341,SHLF7598331,0,3,
361,U1474,A,3,H,3,1.5,1.5,17.9,19.4,16.203,17.703,SECT7598351,SHLF7598371,SHLF7598361,0,16,
361,U1474,A,3,H,4,1.5,1.5,19.4,20.9,17.703,19.203,SECT7598381,SHLF7598401,SHLF7598391,0,48,
361,U1474,A,3,H,5,1.5,1.5,20.9,22.4,19.203,20.703,SECT7598411,SHLF7598431,SHLF7598421,0,52,
361,U1474,A,3,H,6,1,1,22.4,23.4,20.703,21.703,SECT7598441,SHLF7598461,SHLF7598451,1,20,
361,U1474,A,3,H,7,0.56,0.56,23.4,23.96,21.703,22.263,SECT7598471,SHLF7598491,SHLF7598481,1,3,
361,U1474,A,3,H,CC,0.25,0.25,23.96,24.21,22.263,22.513,SECT7598501,SHLF7598521,SHLF7598511,1,0,
361,U1474,A,4,H,1,1.5,1.5,24.4,25.9,24.996,26.496,SECT7598731,SHLF7598751,SHLF7598741,0,3,
361,U1474,A,4,H,2,1.5,1.5,25.9,27.4,26.496,27.996,SECT7598761,SHLF7598781,SHLF7598771,0,6,
361,U1474,A,4,H,3,1.5,1.5,27.4,28.9,27.996,29.496,SECT7598791,SHLF7598811,SHLF7598801,0,11,
361,U1474,A,4,H,4,1.5,1.5,28.9,30.4,29.496,30.996,SECT7598821,SHLF7598841,SHLF7598831,0,20,
