Sample,Depth CCSF (m),Al2O3,Ba,CaO,Cr,Cu,Fe2O3,K2O,MgO,MnO,Na2O,Ni,P2O5,Sc,SiO2,Sr,TiO2,V,Y,Zn,Zr
1474 1H1,1.00,12.82,586.67,28.38,123.75,14.14,4.50,1.01,1.44,0.06,2.07,41.43,0.14,11.70,48.56,941.97,0.70,74.23,24.21,98.59,244.15
1474 2H1,5.99,13.59,625.10,22.18,148.87,32.43,5.18,1.27,1.61,0.06,2.17,48.36,0.15,13.39,49.32,782.84,0.77,86.00,26.05,100.16,206.66
1474 2H5,10.37,11.69,451.47,37.37,92.72,32.27,3.29,0.83,1.03,0.06,1.39,22.92,0.16,9.37,39.08,1465.14,0.54,52.74,22.71,100.56,178.94
1474 3H3,16.96,12.36,473.26,33.59,113.27,18.16,4.40,0.84,1.32,0.06,1.68,48.48,0.15,11.49,40.90,1410.48,0.60,82.23,22.25,99.19,173.86
1474 3H5,19.96,12.11,582.45,35.01,101.26,36.98,4.04,0.92,1.21,0.06,1.41,36.10,0.16,10.48,40.01,1442.21,0.58,65.58,24.97,99.71,144.25
1474 4H4,30.63,12.33,511.77,30.23,113.12,17.86,4.21,1.06,1.44,0.05,1.91,50.88,0.12,10.58,47.39,1121.42,0.65,73.17,23.44,98.11,231.22
1474 6H2,48.03,14.20,532.38,22.94,140.85,43.22,6.29,1.81,2.08,0.06,2.09,58.16,0.14,15.44,51.85,896.26,0.75,100.08,25.18,101.31,186.57
1474 6H5,52.61,12.79,625.76,31.83,117.18,40.00,4.39,1.35,1.54,0.07,1.68,48.69,0.16,12.16,45.45,1265.34,0.66,70.35,25.38,99.15,164.68
1474 7H7,65.06,13.55,571.97,24.56,120.07,36.74,5.64,1.54,1.73,0.05,1.96,71.37,0.12,13.40,49.64,943.55,0.70,87.34,25.27,101.08,182.61
1474 10H2,89.95,13.53,457.33,30.79,134.75,52.17,5.19,1.18,1.81,0.05,2.22,53.99,0.18,13.83,49.14,1148.24,0.72,93.39,24.89,100.79,199.59
1474 12H4,114.26,13.44,510.71,26.09,118.99,30.83,5.61,1.30,1.79,0.06,2.23,71.24,0.17,13.11,45.79,1104.20,0.70,90.87,24.16,100.33,151.86
1474 13H4,124.37,14.47,520.99,20.26,146.08,30.17,6.37,1.95,1.99,0.06,2.12,69.35,0.14,15.49,50.82,869.60,0.79,100.22,26.21,100.72,177.07
1474 14H4,135.23,13.25,549.69,26.50,150.16,32.27,4.73,1.67,1.68,0.04,2.03,46.15,0.17,12.66,54.85,960.08,0.77,85.87,27.84,99.50,323.78
1474 15H2,141.10,14.16,443.38,25.76,148.20,39.46,5.72,1.84,1.95,0.05,1.94,62.39,0.15,15.26,48.18,1095.92,0.76,104.95,25.44,101.25,175.57
1474 16H6,156.46,14.42,493.34,22.41,139.11,35.78,5.78,1.93,1.94,0.06,2.15,54.16,0.11,15.40,50.96,900.97,0.78,110.88,25.54,105.42,173.27
1474 17H2,159.46,13.09,462.03,27.25,126.90,28.35,4.57,1.42,1.52,0.06,1.99,34.52,0.12,12.17,48.82,1063.36,0.71,80.60,24.49,130.27,233.52
1474 18H4,174.30,12.61,425.89,28.72,124.00,27.40,4.08,1.31,1.27,0.05,1.74,34.98,0.13,11.37,47.49,1123.47,0.68,71.36,24.47,100.97,216.91
1474 20H2,193.02,12.74,489.65,28.31,105.39,27.56,4.04,1.46,1.22,0.06,1.66,34.21,0.22,11.37,48.40,1125.70,0.70,72.60,26.11,99.83,217.71
1474 20H4,196.03,13.16,422.64,29.38,146.25,28.16,4.81,1.31,1.73,0.05,1.78,49.39,0.14,13.23,46.98,1194.65,0.70,76.40,24.65,100.55,184.65
1474 20H5,197.57,12.00,450.53,31.32,96.97,53.98,3.29,1.22,1.00,0.06,1.54,45.59,0.22,9.87,44.64,1189.00,0.62,73.83,23.97,110.65,248.76
1474 21H2,205.96,13.72,467.55,28.13,145.85,34.15,5.42,1.67,1.74,0.06,1.96,62.03,0.16,14.21,46.95,1083.02,0.73,96.64,24.25,122.86,158.50
1474 22H2,216.92,13.55,513.85,23.23,122.84,27.28,4.69,1.58,1.51,0.05,1.95,26.98,0.13,12.76,50.53,932.34,0.75,83.75,24.49,100.77,195.27
1474 24H4,239.15,12.70,469.80,29.32,112.01,31.43,4.19,1.20,1.33,0.09,1.67,40.53,0.16,11.91,41.84,1214.18,0.64,65.89,23.06,100.45,144.70
1474 25H2,244.05,13.32,518.50,22.97,125.54,26.76,4.84,1.54,1.61,0.05,1.88,53.84,0.12,13.05,46.99,950.63,0.71,103.26,23.41,100.44,173.86
1474 25H4,247.04,13.31,562.31,30.15,125.20,28.93,4.77,1.41,1.52,0.08,1.76,40.32,0.20,13.56,48.02,1265.26,0.72,77.99,25.72,101.28,179.84
