Solution Type,Solution Label,Site,Time,Al 308.215,Ba 233.527,Ca 422.673,Cr 267.716,Cu 324.754,Fe 259.940,K 766.491,Mg 285.213,Mn 257.610,Na 589.592,Ni 231.604,P 178.222,P 213.618,Sc 361.383,Si 251.611,Si 288.158,Sr 407.771,Ti 334.941,V 292.401,Y 371.029,Zn 206.200,Zr 343.823,Dilution Factor,Depth CCSF (m)
Drift Monitor,D,,13:48:07,94327.9,8435.22,1.11E+07,1916.31,603.138,143586,363983,151884,21725.1,1.81E+06,108.11,57.4073,239.215,1345.42,215005,370610,1.42E+06,298009,971.632,1009.97,177.972,6393.69,4000,
Drift Monitor,D,,13:49:57,95807.5,8543.41,1.13E+07,1936.56,613.224,145353,3.72E+05,154494,22069.7,1.85E+06,107.388,67.1185,236.404,1368.58,218843,377254,1.44E+06,301715,949.285,1002.55,178.809,6549.65,4000,
Drift Monitor,D,,13:51:48,95893,8531.24,1.13E+07,1.92E+03,616.696,146001,372214,154541,22041.9,1.86E+06,104.171,67.3133,245.681,1354.19,218519,378079,1.45E+06,302555,948.916,985.053,177.326,6578.67,4000,
Drift Monitor,D,,13:53:39,9.47E+04,8427.46,1.12E+07,1916.13,598.655,145338,367639,152680,21800.5,1.83E+06,111.163,57.3003,233.693,1357.08,216413,374166,1.43E+06,299433,957.187,9.85E+02,183.897,6470,4000,
Standard,MAG-1,STD,13:55:30,159457,9138.94,7.83E+05,1448.01,538.474,231477,928516,285347,39972.8,3.93E+06,102.711,69.8578,300.148,2102.46,249821,432707,2.37E+05,311120,1635.24,1346.67,65.8619,3676.51,4629.160493,
Standard,JA-2,STD,13:57:23,127128,4940.38,2.72E+06,4545.97,610.408,172232,4.01E+05,565788,36991.6,2.63E+06,210.697,61.1923,273.058,1.87E+03,229052,395530,330380,237194,1290.28,684.752,119.033,2730.61,4286.948541,
Standard,GSP-2,STD,13:59:14,127194,22386.7,1.04E+06,331.706,825.193,142424,1.22E+06,76673.1,17603.8,2.42E+06,6.14E+01,93.9501,459.907,759.017,285870,496743,348206,249608,667.823,1142.43,224.342,14292.9,4576.344495,
Standard,SCO-1,STD,14:01:04,1.20E+05,9999.95,1.28E+06,934.435,635.566,156288,643754,227011,21055.6,8.17E+05,83.8788,84.5079,337.543,1379.06,268729,466191,252395,229068,1488.56,1152.47,195.421,4382.89,4662.603562,
Standard,JS1-1,STD,14:02:55,169168,5823.87,772436,887.993,8.17E+02,216980,737918,217450,27708.1,2.15E+06,97.9802,72.086,371.933,2058.19,287796,500050,307297,303876,1577.74,1384.77,223.016,4797.89,4361.438566,
Standard,W2,STD,14:04:45,149609,3.18E+03,5.36E+06,1314.26,1622.4,358705,175904,601601,70086.7,2.23E+06,153.238,58.0259,223.081,4281.35,257005,446128,307654,462374,2901.55,1038.48,1.65E+02,2733.21,3920.401999,
Drift Monitor,D,,14:06:36,94869.4,8443.7,1.12E+07,1912.6,584.075,144215,367783,152830,21839.2,1.83E+06,1.09E+02,64.8887,240.752,1355.26,216626,374012,1.43E+06,3.00E+05,935.9,980.662,180.769,6481.13,4000,
Sample,1478 1H2,U1478,14:08:26,101475,7992.07,7.40E+06,2760.29,567.359,158128,474437,189787,21265.3,2.40E+06,124.21,51.6698,214.498,1283.3,2.58E+05,446517,1.16E+06,435570,1028.48,833.515,127.016,7651.48,4317.763381,
Sample,1478 3H2,U1478,14:10:17,101916,8256.28,6.98E+06,2463.97,531.401,139314,513613,169663,17772.1,2.16E+06,110.121,4.67E+01,188.039,1189.4,262396,454824,1.19E+06,378634,878.974,791.417,111.186,7111.8,4409.452712,
Sample,1478 4H2,U1478,14:12:06,65658.3,6155.2,1.13E+07,2035.43,428.965,98903.7,304484,117598,1.26E+04,1.93E+06,74.1598,70.7839,291.162,736.32,225745,390452,1.46E+06,259296,576.344,785.914,9.59E+01,7828.95,4497.396239,
Blank,B,,14:13:57,574.753,177.946,2.64E+04,131.976,344.276,6.02E+02,3399.81,982.859,2636.95,6.27E+04,47.6054,80.2618,64.6318,142.417,495.302,1020.35,2839,1689.78,180.778,63.6794,46.4038,145.753,4000,
Sample,1478 4H4,U1478,14:15:47,108805,7950.51,7.76E+06,2818.99,420.891,166524,506349,193915,18949.1,2.65E+06,110.79,42.7901,183.178,1330.31,2.76E+05,477891,1.14E+06,401048,941.171,926.902,113.67,8.11E+03,4094.7,
Drift Monitor,D,,14:17:37,95170.2,8518.98,1.13E+07,1902.99,602.076,145477,368260,153035,21905.5,1.83E+06,97.1064,47.2658,228.595,1365.22,216603,375428,1.44E+06,301722,9.68E+02,1007.66,177.078,6487.08,4000,
Sample,1478 6H6,U1478,14:19:28,89091.3,8830.38,5.90E+06,2832.94,424.078,113672,492960,148759,16772.3,2.34E+06,94.4832,52.5464,209.83,950.969,299199,5.10E+05,991976,387528,768.372,738.007,95.245,9949.29,4346.71,
Sample,1478 9H4,U1478,14:27:58,116957,7074.58,6.85E+06,3386.04,521.606,1.99E+05,522474,251247,19596,2.60E+06,140.42,43.3514,1.72E+02,1605.19,271356,471186,1.04E+06,445866,1157.7,955.835,132.589,7066.78,4129.14,
Sample,1478 11H2,U1478,14:29:49,95320.5,8239,5.75E+06,2678.68,514.758,141443,475055,173007,19748.6,2.26E+06,121.367,45.4866,205.495,1.20E+03,255268,442410,926669,404207,1074.12,761.599,113.107,7945.75,4560.27,
Sample,1478 13H2,U1478,14:31:40,79888,7338.88,9.30E+06,3401.51,446.59,128681,425375,173331,20529.2,2.02E+06,110.418,63.4461,267.024,1092.27,261122,453282,1.31E+06,467860,9.79E+02,933.536,122.976,13130.3,4228.46,
Sample,1478 13H6,U1478,14:33:30,99452.1,9269.77,6.93E+06,2.71E+03,475.481,136516,511621,168759,18275,2.57E+06,106.967,56.4239,211.4,1158.25,285705,4.95E+05,1.07E+06,393461,911.221,853.768,113.765,8376.98,4168.78,
Drift Monitor,D,,14:35:21,9.49E+04,8429.21,1.11E+07,1888.39,596.471,146028,366950,152663,21727,1.83E+06,92.6809,61.5978,2.40E+02,1353.86,216167,374472,1.43E+06,301160,967.179,1.01E+03,165.844,6473.18,4000,
Blank,B,,14:37:11,486.641,48.3498,1.92E+04,138.822,340.93,348.015,1644.59,505.15,682.769,9.18E+04,42.4801,66.5335,77.4115,136.546,260.225,653.729,1.54E+03,760.627,108.388,73.8772,29.8791,161.7,4000,
Sample,1478 14H6,U1478,14:39:01,97313.3,6321.24,8.68E+06,2587.29,514.822,155526,4.51E+05,176963,17165,2.11E+06,1.24E+02,61.1408,227.272,1.35E+03,236556,408756,987518,366544,1026.42,952.985,147.287,8453.63,4558.21,
Sample,1478 17H2,U1478,14:40:51,101721,7624.42,7.35E+06,2599.2,442.916,141846,477324,184526,17906.6,2.36E+06,107.784,47.1261,205.602,1249.85,247623,429491,1.14E+06,356358,913.287,947.875,133.24,7773.81,4420.65,
Sample,1478 21H2,U1478,14:42:42,8.58E+04,8310.77,8.00E+06,2041.67,436.809,101356,463070,1.60E+05,16074.6,2.24E+06,92.9877,45.404,169.36,954.595,258174,446882,1.30E+06,274695,702.655,697.299,87.3164,6247.32,4488.67,
Sample,1478 22H2,U1478,14:44:32,104071,7826.22,8.47E+06,2388.01,5.59E+02,145512,501475,216718,21102.8,2.29E+06,93.2316,51.1658,215.24,1335.98,252171,436363,1.29E+06,330641,948.185,1113.39,118.221,6936.73,4273.63,
Drift Monitor,D,,14:46:23,94843.3,8.45E+03,1.12E+07,1910.46,575.364,144797,365571,152409,21743,1.82E+06,107.392,55.167,215.183,1375.47,216308,373174,1.43E+06,300615,969.893,1002.77,172.964,6460.92,4000,
Sample,1478 25H4,U1478,14:48:13,101010,6632.81,9.60E+06,2269.96,535.199,157293,453223,193406,19884.9,2.13E+06,106.397,61.6781,220.592,1421.04,217377,375714,1.37E+06,348088,996.758,976.586,128.571,7384.83,4460.65,
Blank,B,,14:50:03,1474.97,108.866,6.93E+04,213.585,309.102,3696.3,2222.61,10008.7,1208.96,6.13E+04,41.0911,49.88,59.4457,161.007,2396.49,4287.83,6859.37,9721.97,174.618,94.5776,38.566,179.85,4000,
Sample,1478 26H4,U1478,14:51:53,103388,7976.03,7.70E+06,2430.6,523.792,147470,485678,177518,19764,2.32E+06,109.194,52.7274,202.161,1257.87,246961,428003,1.12E+06,345080,934.126,949.293,123.136,9251.88,4368.66,
Sample,1478 27H1,U1478,14:53:44,95128.2,7977.4,7.40E+06,2911.17,471.615,139285,448191,167021,20393.4,2.31E+06,101.414,54.6715,232.054,1260.63,263133,456410,1.14E+06,384904,919.188,959.925,123.655,9821.15,4336.72,
Sample,1478 31H2,U1478,14:55:34,71520.5,5966.1,1.22E+07,3055.88,433.958,118174,318954,127912,19465.8,1.79E+06,87.2447,73.399,265.574,1041.27,202460,349902,1.51E+06,373883,816.421,964.925,132.597,13462.9,4416.39,
