Exp,Site,Hole,Core,Type,Sect,A/W,Offset (cm),Depth CSF-A (m),Depth CCSF-361-U1474-ABDEF-20160220 (m),Container number,Weight (mg),%CaCO3,%Carbon,Name ,Code 
361,U1474,A,1,H,1,W,92,0.92,0.92,16724,,40.66,,U1474A-1H1-1,DB1
361,U1474,A,1,H,3,W,57,3.57,3.57,16725,,37.23,,U1474A-1H3-2,DB2
361,U1474,A,2,H,1,W,129,6.69,5.192,16727,,32.78,,U1474A-2h1-3,DB3
361,U1474,A,2,H,3,W,51,8.91,7.412,16726,,40.33,,U1474A-2H3-4,DB4
361,U1474,A,2,H,5,W,20,11.6,10.102,16722,,56.19,,U1474A-2H5-5,DB5
361,U1474,A,2,H,7,W,22.5,14.335,12.837,18888,,39.99,,U1474A-2H7-6,DB6
361,U1474,A,3,H,1,W,76,15.66,13.963,18881,,44.37,,U1474A-3H1-7,DB7
361,U1474,A,3,H,3,W,76,18.66,16.963,18882,,49.83,,U1474A-3H3-8,DB8
361,U1474,A,3,H,5,W,76,21.66,19.963,18883,,52.93,,U1474A-3H5-9,DB9
361,U1474,A,3,H,7,W,30,23.7,22.003,18884,,49.12,,U1474A-3H7-10,DB10
361,U1474,A,4,H,2,A,84,26.74,27.336,18885,,37.86,,U1474A-4H2-11,DB11
361,U1474,A,4,H,4,W,113,30.03,30.626,18886,,35.86,,U1474A-4H4-12,DB12
361,U1474,A,4,H,7,W,33,33.73,34.326,18887,,44.93,,U1474A-4H7-13,DB13
361,U1474,A,5,H,1,W,84,34.74,35,17320,,46.01,,U1474A-5H1-14,DB14
361,U1474,A,5,H,3,W,84,37.74,38,17319,,41.93,,U1474A-5H3-15,DB15
361,U1474,A,5,H,5,W,23,40.13,40.39,17318,,32.17,,U1474A-5H5-16,DB16
361,U1474,A,6,H,2,W,77,45.67,48.053,17321,,32.31,,U1474A-6H2-17,DB17
361,U1474,A,6,H,5,W,84,50.24,52.623,17323,,46.81,,U1474A-6H5-18,DB18
361,U1474,A,6,H,7,W,54,52.94,55.322,17322,,40.7,,U1474A-6H7-19,DB19
