CCSF (m),CaCO3
0.3,39.193
1,40.66
2.5,46.265
3.08,29.83
3.65,37.23
5.442,31.496
5.99,32.78
8,40.33
8.062,33.128
10.192,57.294
10.365,56.19
12.79,39.99
13.963,44.37
16.963,49.83
19.963,52.93
22.07,49.12
27.34,37.86
29.846,47.181
30.626,35.86
34.27,44.93
35,46.01
36.32,24.315
38,41.93
40.39,32.17
48.03,32.31
48.993,43.308
52.61,46.81
55.322,40.7
59.24,42.15
62.013,38.168
62.52,37.22
65.06,36.84
68.367,40.05
71.217,17.618
71.34,36.41
74.32,25.79
80,38.5
82.711,30.513
83,35.13
86.01,33.86
89.95,39.93
92.51,33.237
93.44,39.08
96.85,31.61
100.56,18.18
103.914,31.229
104.574,40.69
106.994,40.17
111.08,34.62
111.589,33.52
112.089,35.469
112.589,42.025
113.149,38.151
113.536,34.794
113.589,38.31
114.089,38.651
114.255,39.19
114.589,41.034
115.139,37.235
116.457,40.201
116.957,40.992
117.236,41.8
117.457,40.9
117.957,40.95
118.457,38.784
118.957,38.893
119.467,33.97
119.967,34.445
120.467,30.696
120.997,34.611
121.3,34.79
121.497,30.155
121.997,33.603
124.37,29.41
124.789,32.978
127.879,37.9
132.03,31.89
135.114,41.475
135.234,36.95
138.59,39.89
141.095,37.97
143.025,40.342
143.25,40.55
146.35,44.91
150.68,37.48
151.872,34.536
153.69,37.06
156.46,32.19
159.46,40.95
162.09,36.47
162.604,34.819
165.665,45.29
171.55,42.52
173.873,37.843
174.3,43.44
177.273,46.76
181.26,38.99
184.049,40.117
184.23,41.23
187.249,48.92
193.015,42.43
193.955,44.932
196.025,43.34
197.565,52.44
205.957,43.72
207.227,38.435
208.947,45.25
211.927,36.58
216.915,39.62
219.865,42.8
220.115,47.47
224.425,55.55
227.275,52.412
227.425,56.32
230.415,53.96
236.184,48.95
237.374,42.058
239.154,47.05
244.048,36.84
246.638,38.11
247.058,45.92
249.958,76.63
253.526,23.67
