Depth,Al,Si,K,Ca,Ti,Fe,Sr,Zr,Ba
1,75248.77,254286.816,7305.2936,205119.187,4663.477,35041.5933,967,256,619.5579933
10.365,67664.642,238393.89,5644.9996,272301.081,3997.266,29306.2427,1510,184,469.2176832
16.963,72819.479,242600.841,5894.0437,249430.649,4330.3715,34971.65,1474,182,503.4802984
19.963,69797.678,238861.329,6309.1172,248715.948,4130.5082,32383.7479,1450,142,601.6334219
30.626,74893.264,258026.328,8633.5288,239424.835,4663.477,35391.3098,1255,264,590.8886122
48.03,86684.213,262700.718,15606.7636,173672.343,5063.2036,44763.712,967,201,589.4632436
52.61,75545.025,249612.426,10625.8816,232992.526,4596.8559,34691.8768,1320,170,676.4110112
65.06,80403.607,256156.572,12369.1903,179389.951,4730.0981,40497.1707,976,189,610.2143918
114.225,80640.611,251482.182,10376.8375,195828.074,4730.0981,41336.4903,1162,160,553.7375034
124.37,86091.703,257558.889,16021.8371,146513.705,5063.2036,43854.4491,882,181,543.1236818
135.234,74893.264,258493.767,12203.1609,176531.147,4730.0981,34342.1603,900,316,527.3586501
141.095,82892.149,251482.182,14610.5872,182963.456,4863.3403,40147.4542,1083,175,444.0426424
156.46,87572.978,260363.523,16602.94,167954.735,5129.8247,41896.0367,957,183,532.9963119
159.46,79751.846,258961.206,12037.1315,212266.197,4929.9614,36790.1758,1168,261,516.344495
174.3,71930.714,248677.548,9463.6758,197257.476,4463.6137,31894.1448,1092,213,413.6692741
193.015,76848.547,257558.889,12369.1903,217269.104,4796.7192,33992.4438,1229,240,544.5110507
196.025,76967.049,250547.304,9961.764,211551.496,4663.477,36230.6294,1203,185,429.7934203
197.565,69323.67,246807.792,9131.617,225130.815,4330.3715,29166.3561,1201,256,462.8747352
205.957,82951.4,253819.377,14112.499,212266.197,4929.9614,40497.1707,1152,166,507.7071354
216.915,83543.91,263168.157,13863.4549,182963.456,5129.8247,37839.3253,1036,217,586.6295109
230.415,75900.531,244938.036,9463.6758,222986.712,4530.2348,34482.0469,1294,151,511.9953485
236.184,83899.416,259896.084,14278.5284,190825.167,5063.2036,39657.8511,1105,204,621.6151228
247.04,78270.571,252884.499,10957.9404,217983.805,4796.7192,35950.8562,1292,184,588.5972825
