Exp,Site,Hole,Core,Type,Sect,A/W,Offset (cm),Depth CSF-A (m),Depth CCSF-361-U1474-ABDEF-20160220 (m),Submethod,Moisture dry (wt%),Moisture wet (wt%),Bulk density (g/cm³),Dry density (g/cm³),Grain density (g/cm³),Porosity (vol%),Void ratio,Container number,Mass wet sample (g),Mass dried sample (g),Mass porewater (g),Mass salt (g),Mass solids (g),Vol wet sample (cm³),Vol dried sample (cm³),Vol porewater (cm³),Vol salt (cm³),Vol solids (cm³),Timestamp (UTC),Text ID,Test No.
361,U1474,A,1,H,1,W,92,0.92,0.92,C,74,42.5,1.593,0.916,2.705,66.1,1.953,16724,9.962,5.875,4.235,0.148,5.727,6.253,2.184,4.136,0.06677,2.117,2/12/16 16:12,CYL7600411,95076621
361,U1474,A,1,H,1,W,92,0.92,0.92,,,,,,,,,,,,,,,,,,,,2/10/16 20:30,CYL7600411,94796811
361,U1474,A,1,H,3,W,57,3.57,3.57,,,,,,,,,,,,,,,,,,,,2/10/16 19:45,CYL7599791,94789741
361,U1474,A,1,H,3,W,57,3.57,3.57,C,74.7,42.8,1.602,0.917,2.77,66.9,2.022,16725,9.652,5.668,4.128,0.144,5.524,6.026,2.059,4.032,0.06509,1.994,2/12/16 16:12,CYL7599791,95076611
361,U1474,A,2,H,1,W,129,6.69,5.192,C,85,45.9,1.536,0.831,2.672,68.9,2.216,16727,13.119,7.304,6.026,0.211,7.093,8.54,2.75,5.885,0.095,2.655,2/13/16 3:02,CYL7601381,95152031
361,U1474,A,2,H,3,W,51,8.91,7.412,C,79.5,44.3,1.575,0.877,2.749,68.1,2.134,16726,13.834,7.922,6.126,0.214,7.708,8.786,2.9,5.983,0.09659,2.803,2/12/16 16:12,CYL7601391,95076601
361,U1474,A,2,H,5,W,20,11.6,10.102,C,66.8,40.1,1.643,0.985,2.758,64.3,1.8,16722,16.144,9.904,6.466,0.226,9.678,9.824,3.611,6.315,0.10195,3.509,2/12/16 16:12,CYL7601401,95076631
361,U1474,A,2,H,7,W,22.5,14.335,12.837,C,108.7,52.1,1.414,0.677,2.411,71.9,2.56,18888,17.052,8.48,8.883,0.311,8.169,12.063,3.528,8.675,0.14005,3.388,2/12/16 16:12,CYL7601411,95076581
361,U1474,A,3,H,1,W,76,15.66,13.963,C,87.8,46.8,1.538,0.819,2.748,70.2,2.357,18881,13.272,7.283,6.206,0.217,7.066,8.632,2.669,6.061,0.09785,2.571,2/12/16 17:10,CYL7602091,95080211
361,U1474,A,3,H,3,W,76,18.66,16.963,C,74.4,42.6,1.601,0.918,2.756,66.7,2.001,18882,16.478,9.697,7.027,0.246,9.451,10.291,3.54,6.862,0.11079,3.429,2/12/16 17:10,CYL7602101,95080201
361,U1474,A,3,H,5,W,76,21.66,19.963,C,76.8,43.4,1.585,0.897,2.739,67.3,2.054,18883,15.12,8.781,6.569,0.23,8.551,9.537,3.226,6.415,0.10356,3.122,2/12/16 17:10,CYL7602111,95080191
361,U1474,A,3,H,7,W,30,23.7,22.003,C,45.9,31.4,1.795,1.23,2.741,55.1,1.227,18884,15.194,10.584,4.777,0.167,10.417,8.466,3.876,4.665,0.07532,3.801,2/12/16 17:10,CYL7602121,95080181
361,U1474,A,4,H,2,A,84,26.74,27.336,C,75.6,43,1.589,0.905,2.723,66.8,2.01,18885,16.055,9.386,6.911,0.242,9.144,10.107,3.467,6.749,0.10896,3.358,2/12/16 17:10,CYL7602781,95080161
361,U1474,A,4,H,4,W,113,30.03,30.626,C,68.4,40.6,1.63,0.968,2.738,64.7,1.83,18886,17.294,10.514,7.026,0.246,10.268,10.611,3.861,6.861,0.11077,3.75,2/12/16 17:37,CYL7602791,95081381
361,U1474,A,4,H,7,W,33,33.73,34.326,C,71.5,41.7,1.61,0.939,2.725,65.5,1.902,18887,17.68,10.569,7.369,0.258,10.311,10.98,3.9,7.196,0.11618,3.784,2/12/16 17:37,CYL7602801,95081391
361,U1474,A,5,H,1,W,84,34.74,35,C,69.8,41.1,1.616,0.952,2.711,64.9,1.849,17320,15.774,9.515,6.486,0.227,9.288,9.76,3.528,6.334,0.10226,3.426,2/12/16 17:38,CYL7603011,95081401
361,U1474,A,5,H,3,W,84,37.74,38,C,71.3,41.6,1.618,0.945,2.761,65.8,1.922,17319,16.915,10.121,7.04,0.246,9.875,10.452,3.688,6.875,0.111,3.577,2/12/16 17:38,CYL7603021,95081411
361,U1474,A,5,H,5,W,23,40.13,40.39,C,56.4,36.1,1.7,1.087,2.71,59.9,1.493,17318,14.446,9.417,5.211,0.182,9.235,8.497,3.49,5.089,0.08216,3.408,2/12/16 17:38,CYL7603031,95081421
361,U1474,A,6,H,2,W,77,45.67,48.053,C,73.9,42.5,1.615,0.928,2.814,67,2.032,17321,16.408,9.678,6.974,0.244,9.434,10.163,3.462,6.811,0.10995,3.352,2/12/16 18:22,CYL7603261,95087481
361,U1474,A,6,H,5,W,84,50.24,52.623,,,,,,,,,,,,,,,,,,,,2/11/16 10:37,CYL7603271,94902611
361,U1474,A,6,H,5,W,84,50.24,52.623,C,68.5,40.7,1.631,0.968,2.749,64.8,1.839,17323,17.066,10.37,6.939,0.243,10.127,10.461,3.794,6.776,0.1094,3.685,2/12/16 18:22,CYL7603271,95087791
361,U1474,A,6,H,7,W,54,52.94,55.322,C,65,39.4,1.651,1,2.742,63.5,1.742,17322,13.846,8.58,5.457,0.191,8.389,8.388,3.145,5.329,0.08603,3.059,2/12/16 18:22,CYL7603281,95088061
361,U1474,A,7,H,3,W,54,56.44,59.053,C,62.8,38.6,1.667,1.024,2.752,62.8,1.689,17325,15.915,9.989,6.141,0.215,9.774,9.548,3.648,5.997,0.09682,3.551,2/12/16 18:23,CYL7603851,95088941
361,U1474,A,7,H,3,W,54,56.44,59.053,,,,,,,,,,,,,,,,,,,,2/11/16 10:26,CYL7603851,94898391
361,U1474,A,7,H,5,W,93.5,59.835,62.448,C,64.1,39,1.657,1.01,2.743,63.2,1.716,17324,15.633,9.742,6.105,0.214,9.528,9.435,3.57,5.962,0.09624,3.474,2/12/16 18:23,CYL7604501,95088971
361,U1474,A,7,H,7,W,52,62.42,65.033,C,70.4,41.3,1.627,0.955,2.778,65.6,1.91,17326,17.746,10.671,7.332,0.257,10.414,10.908,3.864,7.16,0.11559,3.748,2/12/16 18:24,CYL7604321,95088981
361,U1474,A,8,H,2,W,69,64.59,68.207,C,62.6,38.5,1.668,1.026,2.75,62.7,1.681,17327,17.903,11.252,6.892,0.241,11.011,10.735,4.113,6.731,0.10866,4.004,2/12/16 18:24,CYL7604961,95088991
