"Exp","Site","Hole","Core","Type","Sect","Offset (cm)","Depth CSF-A (m)","Depth CCSF-361-U1474-ABDEF-20160220 (m)","NGR total counts (cps)","Error (cps)","Relative Error","Timestamp (UTC)","Instrument","Text ID","Test No.","Comments"
"361","U1474","A","1","H","1","0.0","0.000","0.000","24.929","1.519","0.061","2016-02-10 17:21:35","NGR System","SECT7597361","94781821",""
"361","U1474","A","1","H","1","10.0","0.100","0.100","25.025","0.554","0.022","2016-02-10 17:21:35","NGR System","SECT7597361","94781821",""
"361","U1474","A","1","H","1","20.0","0.200","0.200","27.845","0.328","0.012","2016-02-10 17:21:35","NGR System","SECT7597361","94781821",""
"361","U1474","A","1","H","1","30.0","0.300","0.300","35.651","0.365","0.010","2016-02-10 17:21:35","NGR System","SECT7597361","94781821",""
"361","U1474","A","1","H","1","40.0","0.400","0.400","42.140","0.400","0.009","2016-02-10 17:21:35","NGR System","SECT7597361","94781821",""
"361","U1474","A","1","H","1","50.0","0.500","0.500","37.600","0.381","0.010","2016-02-10 17:21:35","NGR System","SECT7597361","94781821",""
"361","U1474","A","1","H","1","60.0","0.600","0.600","33.804","0.364","0.011","2016-02-10 17:21:35","NGR System","SECT7597361","94781821",""
"361","U1474","A","1","H","1","70.0","0.700","0.700","33.991","0.365","0.011","2016-02-10 17:21:35","NGR System","SECT7597361","94781821",""
"361","U1474","A","1","H","1","80.0","0.800","0.800","33.515","0.363","0.011","2016-02-10 17:21:35","NGR System","SECT7597361","94781821",""
"361","U1474","A","1","H","1","90.0","0.900","0.900","31.798","0.355","0.011","2016-02-10 17:21:35","NGR System","SECT7597361","94781821",""
"361","U1474","A","1","H","1","100.0","1.000","1.000","30.543","0.349","0.011","2016-02-10 17:21:35","NGR System","SECT7597361","94781821",""
"361","U1474","A","1","H","1","110.0","1.100","1.100","28.980","0.342","0.012","2016-02-10 17:21:35","NGR System","SECT7597361","94781821",""
"361","U1474","A","1","H","1","120.0","1.200","1.200","27.790","0.327","0.012","2016-02-10 17:21:35","NGR System","SECT7597361","94781821",""
"361","U1474","A","1","H","1","130.0","1.300","1.300","28.583","0.431","0.015","2016-02-10 17:21:35","NGR System","SECT7597361","94781821",""
"361","U1474","A","1","H","1","140.0","1.400","1.400","29.029","0.533","0.018","2016-02-10 17:21:35","NGR System","SECT7597361","94781821",""
"361","U1474","A","1","H","2","0.0","1.500","1.500","28.243","1.705","0.060","2016-02-10 17:33:12","NGR System","SECT7597391","94782901",""
"361","U1474","A","1","H","2","10.0","1.600","1.600","28.130","0.606","0.022","2016-02-10 17:33:12","NGR System","SECT7597391","94782901",""
"361","U1474","A","1","H","2","20.0","1.700","1.700","27.755","0.327","0.012","2016-02-10 17:33:12","NGR System","SECT7597391","94782901",""
"361","U1474","A","1","H","2","30.0","1.800","1.800","29.548","0.336","0.011","2016-02-10 17:33:12","NGR System","SECT7597391","94782901",""
"361","U1474","A","1","H","2","40.0","1.900","1.900","29.863","0.345","0.012","2016-02-10 17:33:12","NGR System","SECT7597391","94782901",""
"361","U1474","A","1","H","2","50.0","2.000","2.000","29.786","0.345","0.012","2016-02-10 17:33:12","NGR System","SECT7597391","94782901",""
