"Interval","Site","Hole","Core","Type","Top section","Top offset (cm)","Top depth CSF-A (m)","Top depth CCSF (m)","Bottom section","Bottom offset (cm)","Bottom depth CSF-A (m)","Bottom depth CCSF (m)","Splice type","Data used","Quality comment"
"1","U1474","F","1","H","1","4.60","0.046","0.046","2","89.70","2.397","2.397","TIE","MS STMSL",""
"2","U1474","D","1","H","2","74.48","2.245","2.397","4","73.58","5.236","5.388","TIE","MS STMSL",""
"3","U1474","F","2","H","2","103.81","5.738","5.388","6","111.11","11.811","11.461","TIE","MS STMSL",""
"4","U1474","D","3","H","1","90.47","12.405","11.461","5","74.97","18.250","17.306","TIE","MS STMSL",""
"5","U1474","A","3","H","3","110.31","19.003","17.306","6","48.41","22.884","21.187","TIE","MS STMSL",""
"6","U1474","D","4","H","1","63.91","20.639","21.187","4","88.81","25.388","25.936","TIE","MS STMSL",""
"7","U1474","F","4","H","3","43.16","25.632","25.936","6","77.16","30.472","30.776","TIE","MS STMSL",""
"8","U1474","A","4","H","4","128.02","30.180","30.776","6","118.02","33.080","33.676","TIE","MS STMSL",""
"9","U1474","F","5","H","1","81.16","32.512","33.676","6","143.96","40.640","41.804","TIE","MS STMSL",""
"10","U1474","D","6","H","1","130.48","40.305","41.804","7","11.08","47.611","49.110","TIE","MS STMSL",""
"11","U1474","A","6","H","3","32.75","46.728","49.110","5","29.55","49.696","52.078","TIE","MS STMSL",""
"12","U1474","D","7","H","2","50.27","50.503","52.078","5","109.37","55.594","57.169","TIE","MS STMSL",""
"13","U1474","F","7","H","3","110.22","54.802","57.169","6","107.72","59.277","61.644","TIE","MS STMSL",""
"14","U1474","D","8","H","2","47.73","59.977","61.644","6","64.13","66.141","67.808","TIE","MS STMSL",""
"15","U1474","F","8","H","3","104.64","64.246","67.808","6","134.14","69.041","72.603","TIE","MS STMSL",""
"16","U1474","A","8","H","5","58.56","68.986","72.603","6","93.46","70.835","74.452","TIE","MS STMSL",""
"17","U1474","F","9","H","1","38.37","70.084","74.452","6","114.87","78.349","82.717","TIE","MS STMSL",""
"18","U1474","D","10","H","1","76.27","77.763","82.717","6","129.87","85.799","90.753","TIE","MS STMSL",""
"19","U1474","F","10","H","4","123.11","84.931","90.753","6","62.91","87.329","93.151","TIE","MS STMSL",""
"20","U1474","D","11","H","1","72.25","87.223","93.151","7","30.45","95.305","101.233","TIE","MS STMSL",""
"21","U1474","F","11","H","4","92.69","94.147","101.233","6","150.09","97.731","104.817","TIE","MS STMSL",""
"22","U1474","D","12","H","1","149.58","97.496","104.817","3","134.98","100.350","107.671","TIE","MS STMSL",""
"23","U1474","F","12","H","2","33.24","100.032","107.671","5","142.64","105.626","113.265","TIE","MS STMSL",""
"24","U1474","E","2","H","1","102.22","106.522","113.265","6","12.02","113.120","119.863","TIE","MS STMSL",""
"25","U1474","F","13","H","3","64.59","111.356","119.863","6","126.89","116.539","125.046","TIE","MS STMSL",""
"26","U1474","D","14","H","1","60.16","115.602","125.046","7","20.86","124.209","133.653","TIE","MS STMSL",""
"27","U1474","A","14","H","3","93.92","123.339","133.653","6","37.92","127.289","137.603","TIE","MS STMSL",""
"28","U1474","F","15","H","1","118.61","127.886","137.603","6","82.61","135.026","144.743","TIE","MS STMSL",""
"29","U1474","A","15","H","5","101.79","135.948","144.743","6","126.59","137.706","146.501","TIE","MS STMSL",""
"30","U1474","E","6","H","2","5.65","137.057","146.501","5","29.55","141.806","151.250","TIE","MS STMSL",""
"31","U1474","F","16","H","4","19.82","140.918","151.250","6","55.92","144.279","154.611","TIE","MS STMSL",""
"32","U1474","A","16","H","5","63.91","145.039","154.611","6","69.11","146.591","156.163","TIE","MS STMSL",""
"33","U1474","E","7","H","2","43.39","146.934","156.163","6","89.59","153.396","162.625","TIE","MS STMSL",""
