Exp,Site,Hole,Type,Section,SectionLabel,Top Offset (cm),Depth (m CCSF),MSE,Al2O3,SiO2,K2O,TiO2,Fe2O3,CaO
361,U1474,F,H,1,U1474F_1H1,6.5360000000000005,0.07,11.25,12.835700710561676,41.567787180611276,0.9501370305278076,0.7918924388702717,5.28456854376447,33.779379716089146
361,U1474,F,H,1,U1474F_1H1,8.536,0.09,11.81,13.230811867323157,42.89329509526567,1.042081054785499,0.8026972660768968,5.477326900886138,31.76325343608726
361,U1474,F,H,1,U1474F_1H1,10.536,0.11,11.81,12.709106176914897,42.941612247490454,1.0429245692466487,0.8074435932561328,5.296057270127884,32.412321763388626
361,U1474,F,H,1,U1474F_1H1,12.536,0.13,11.22,12.805585830636257,43.284029864286836,1.0745410285618433,0.8285594765791751,5.517267187086758,31.69948223327376
361,U1474,F,H,1,U1474F_1H1,14.536,0.15,11.61,12.758931967690748,42.44113177788275,0.9762758553759087,0.7858778741407864,5.046451854850127,33.2007962904843
361,U1474,F,H,1,U1474F_1H1,16.535999999999998,0.17,11.45,12.86441833363991,43.545033862948145,1.0653366261387467,0.82114902474464,5.461585738334904,31.451942034618313
361,U1474,F,H,1,U1474F_1H1,18.535999999999998,0.19,11.07,12.961181223503154,44.092116250128754,1.1619694080349268,0.8548838899250015,5.735654118278332,30.403660730554474
361,U1474,F,H,1,U1474F_1H1,20.535999999999998,0.21,11.09,13.009482715835983,45.23129936763124,1.2394762346826653,0.8689924283132947,5.975840731962641,28.884374141998816
361,U1474,F,H,1,U1474F_1H1,22.535999999999998,0.23,10.95,12.863612325766923,44.83822019047377,1.2034762685533893,0.8645543442018636,5.81900779285539,29.620594698573306
361,U1474,F,H,1,U1474F_1H1,24.535999999999998,0.25,10.97,13.785053804468264,45.49631813484901,1.238474825494988,0.8672206381667703,5.965157492105597,27.85724072534
361,U1474,F,H,1,U1474F_1H1,26.535999999999998,0.27,11.32,13.282818427184175,45.32080433769713,1.2517385804941938,0.8712226522803831,5.985851632478563,28.497029990290187
361,U1474,F,H,1,U1474F_1H1,28.535999999999998,0.29,10.85,13.00400992414996,45.30595610906949,1.2760517604559374,0.8801243572596693,6.213231750688593,28.53009171880099
361,U1474,F,H,1,U1474F_1H1,30.535999999999998,0.31,11.58,13.151560810526847,45.411712861943485,1.2155097617301647,0.8545978693450393,5.91334516455326,28.66273915232584
361,U1474,F,H,1,U1474F_1H1,32.536,0.33,11.76,13.35577896353532,44.56973950823626,1.2266126810910005,0.8796157453012535,6.216264072880138,28.961454649380656
361,U1474,F,H,1,U1474F_1H1,34.536,0.35,11.49,13.081703474567362,44.98799420348245,1.2175737723492344,0.8745963778860644,5.986947686694847,29.06065010544468
361,U1474,F,H,1,U1474F_1H1,36.536,0.37,11.22,13.045779099987925,45.18949250823256,1.2886323471359262,0.9192707272857366,6.232828047511531,28.53346289027096
361,U1474,F,H,1,U1474F_1H1,38.536,0.39,12.13,12.996816149516283,44.48202438132891,1.215380753536029,0.8739003198267054,6.115668171430346,29.525675844786356
361,U1474,F,H,1,U1474F_1H1,40.536,0.41,10.79,12.722129144882537,45.884839324783144,1.278812645250954,0.8857865176150734,6.039024140179174,28.398873847713762
361,U1474,F,H,1,U1474F_1H1,42.536,0.43,10.2,12.458040857161519,45.37037583464081,1.2360007343272044,0.8813639197927413,5.905338634547223,29.35834563995514
361,U1474,F,H,1,U1474F_1H1,44.536,0.45,10.53,12.801016613037406,45.565314066067444,1.3082979607727285,0.9085676740089609,6.175360765868288,28.450908540669808
361,U1474,F,H,1,U1474F_1H1,46.536,0.47,10.66,12.693230037057997,46.11566285405886,1.2871829372876837,0.8895911128218309,6.061206741973602,28.16259193722468
361,U1474,F,H,1,U1474F_1H1,48.536,0.49,11.43,13.065771350308633,46.33658707033623,1.3220983007119351,0.8870816923272484,6.086527739856411,27.511399466884182
361,U1474,F,H,1,U1474F_1H1,50.536,0.51,11.18,13.326476120627339,46.36642025783863,1.3886293725067953,0.9085033664205927,6.263099893198932,26.956336609832356
361,U1474,F,H,1,U1474F_1H1,52.536,0.53,10.69,12.498236051917777,46.280303759092426,1.4114434699893068,0.9026724617480063,6.786993599480352,27.329816278196784
361,U1474,F,H,1,U1474F_1H1,54.536,0.55,10.41,12.496876604336117,46.15961488643178,1.4523336169773036,0.8974618248269082,7.3405257814270914,26.862652906425424
361,U1474,F,H,1,U1474F_1H1,56.536,0.57,10.3,12.597077416774308,47.353597694904934,1.607445690835276,0.9321179562245362,7.685582986745638,25.03364387493995
361,U1474,F,H,1,U1474F_1H1,58.536,0.59,10.57,12.78437476472741,48.00371231843745,1.6373493425145942,0.9352838568339717,7.696465570050064,24.152279767861163
361,U1474,F,H,1,U1474F_1H1,60.536,0.61,10.1,12.447063092708639,47.12302062101191,1.616911586920168,0.9099857299043372,8.140610263089034,24.971874326790555
361,U1474,F,H,1,U1474F_1H1,62.536,0.63,10.5,12.822480262210506,47.90439895785423,1.633505245358718,0.9402950656165446,6.9046456904928855,25.00414039889176
361,U1474,F,H,1,U1474F_1H1,64.536,0.65,10.2,12.74758403313102,47.482429068795525,1.6137069824130823,0.938714370945202,6.8523598204119045,25.574671344727893
