Depth CCSF (m),Exp,Site,Hole,Core,Type,Sect,A/W,%CaCO3,σ %CaCO3,Source,Best Depth CCSF (m)
0.3,361,U1474,A,1,H,1,W,39.193000000000005,0.46505444162528764,IODP,0.3
0.92,361,U1474,A,1,H,1,W,40.66,1.9094500495959568,This Study,1.0
2.5,361,U1474,A,1,H,2,W,46.265,0.5489690440077037,IODP,2.5
3.08,361,U1474,A,1,H,3,W,29.83,0.3539554000378213,IODP,3.08
3.57,361,U1474,A,1,H,3,W,37.23,1.7483724876157765,This Study,3.65
5.442,361,U1474,A,2,H,2,W,31.496,0.37372374386829427,IODP,5.442
5.192,361,U1474,A,2,H,1,W,32.78,1.539394309536534,This Study,5.99
7.412,361,U1474,A,2,H,3,W,40.33,1.8939527914462602,This Study,8.0
8.062,361,U1474,A,2,H,3,W,33.128,0.3930886521103903,IODP,8.062
10.192,361,U1474,A,2,H,5,W,57.201499999999996,0.6787388473102056,IODP,10.192
10.102,361,U1474,A,2,H,5,W,56.19,2.6387604103983477,This Study,10.365
12.837,361,U1474,A,2,H,7,W,39.99,1.8779859194132396,This Study,12.79
13.963,361,U1474,A,3,H,1,W,44.37,2.083676800309213,This Study,13.963
16.963,361,U1474,A,3,H,3,W,49.83,2.340085980604194,This Study,16.963
19.963,361,U1474,A,3,H,5,W,52.93,2.4856662844346777,This Study,19.963
22.003,361,U1474,A,3,H,7,W,49.12,2.30674339488818,This Study,22.07
224.425,361,U1474,A,23,H,2,W,55.55,2.6087051218656025,This Study,24.43
27.336,361,U1474,A,4,H,2,A,37.86,1.7779581622651974,This Study,27.34
29.846,361,U1474,A,4,H,4,W,47.181000000000004,0.5598380733886841,IODP,29.846
30.626,361,U1474,A,4,H,4,W,35.86,1.6840353856003691,This Study,30.625999999999998
34.326,361,U1474,A,4,H,7,W,44.93,2.109975177775365,This Study,34.27
35.0,361,U1474,A,5,H,1,W,46.01,2.160693477174372,This Study,35.0
36.32,361,U1474,A,5,H,2,W,24.595,0.29183818518036253,IODP,36.32
